insight_id	category	trigger	sourceText	sourceUrl	current_adult_title	current_adult_body	current_kid_title	current_kid_body	proposed_adult_title	proposed_adult_body	proposed_kid_title	proposed_kid_body	notes
I11	reading	habit_added	Cunningham & Stanovich	https://pubmed.ncbi.nlm.nih.gov/	Reading grows your words	"Regular readers carry larger vocabularies even when their formal education looks identical on paper. Fifteen quiet minutes a day compounds over years.

Speed-reading trophies optional."	Reading grows words	"Reading a little most days grows vocabulary over time.

Short, cosy reading still counts."	Reading grows your words	"Regular readers carry larger vocabularies even when their formal education looks identical on paper. Fifteen quiet minutes a day compounds over years.

Speed-reading trophies optional."	Reading grows words	"Reading a little most days grows vocabulary over time.

Short, cosy reading still counts."	
I12	meditation	habit_added	Tang et al. — mindfulness reviews	https://pubmed.ncbi.nlm.nih.gov/	Meditation as attention gym	"Mindfulness practice produces modest but reliable gains on attention measures — not magic, just practice applied to a specific skill.

Short and daily beats long and occasional."	Quiet focus practice	"Calm attention practice can train focus a bit like practice for sport.

Short and often beats rare and long."	Meditation as attention gym	"Mindfulness practice produces modest but reliable gains on attention measures — not magic, just practice applied to a specific skill.

Short and daily beats long and occasional."	Quiet focus practice	"Calm attention practice can train focus a bit like practice for sport.

Short and often beats rare and long."	
I13	consistency	week_2	Cepeda et al. — spacing effect	https://pubmed.ncbi.nlm.nih.gov/	Little and often wins	"Spreading practice across days beats cramming it all into one session — for skills, facts, and habits alike. Your brain consolidates better with gaps in between.

Show up regularly. Let the gaps do half the work."	Little and often wins	"A bit on many days beats one giant cram for skills and habits.

Gaps between tries help your brain learn."	Little and often wins	"Spreading practice across days beats cramming it all into one session — for skills, facts, and habits alike. Your brain consolidates better with gaps in between.

Show up regularly. Let the gaps do half the work."	Little and often wins	"A bit on many days beats one giant cram for skills and habits.

Gaps between tries help your brain learn."	
I14	consistency	habit_added	Identity & habits (research reviews)	https://pubmed.ncbi.nlm.nih.gov/	Who you think you are matters	"People who say “I’m someone who exercises” stick with it longer than people who say “I’m trying to exercise more.” Identity outruns motivation.

The story you tell on good days is the voice you hear on hard ones."	“I am someone who…”	"Saying “I am a reader” or “I move my body” can stick better than “I am trying.”

Tell a story that helps you on hard days."	Who you think you are matters	"People who say “I’m someone who exercises” stick with it longer than people who say “I’m trying to exercise more.” Identity outruns motivation.

The story you tell on good days is the voice you hear on hard ones."	“I am someone who…”	"Saying “I am a reader” or “I move my body” can stick better than “I am trying.”

Tell a story that helps you on hard days."	
I15	consistency	habit_added	Wood & Neal — habits	https://pubmed.ncbi.nlm.nih.gov/17685980/	Make the good thing easier	"Shoes by the door. Gym bag already packed. Water bottle already filled. Environment design consistently beats willpower when you’re tired.

Reduce friction. Future-you will be grateful."	Make the good thing easy	"Lay out clothes, fill a water bottle, put shoes by the door — easy setups beat arguing with a tired brain.

Less friction, more follow-through."	Make the good thing easier	"Shoes by the door. Gym bag already packed. Water bottle already filled. Environment design consistently beats willpower when you’re tired.

Reduce friction. Future-you will be grateful."	Make the good thing easy	"Lay out clothes, fill a water bottle, put shoes by the door — easy setups beat arguing with a tired brain.

Less friction, more follow-through."	
I16	consistency	any	Health behaviour trials (overview)	https://pubmed.ncbi.nlm.nih.gov/	Other people help you show up	"Knowing someone is loosely watching — a friend, a partner, a group chat — reliably nudges follow-through. You don’t need a coach.

Sometimes one text buddy is enough."	Buddies help you show up	"When someone kind knows your plan, you are more likely to do it.

A friend, parent, or coach counts."	Other people help you show up	"Knowing someone is loosely watching — a friend, a partner, a group chat — reliably nudges follow-through. You don’t need a coach.

Sometimes one text buddy is enough."	Buddies help you show up	"When someone kind knows your plan, you are more likely to do it.

A friend, parent, or coach counts."	
I17	neuroscience	red_to_amber	Schwabe & Wolf — stress & habits	https://pubmed.ncbi.nlm.nih.gov/	Stress loves the old playlist	"Under pressure, the brain defaults to its most familiar routines — fast. If those routines are good ones, great. If not, stress will find that out quickly.

Simplify the plan before stress does it for you."	Stress picks the old habit	"When stressed, brains reach for familiar routines fast — good or not.

Keep your plan simple before stress arrives."	Stress loves the old playlist	"Under pressure, the brain defaults to its most familiar routines — fast. If those routines are good ones, great. If not, stress will find that out quickly.

Simplify the plan before stress does it for you."	Stress picks the old habit	"When stressed, brains reach for familiar routines fast — good or not.

Keep your plan simple before stress arrives."	
I18	sleep	week_8	Killgore — sleep & cognition	https://pubmed.ncbi.nlm.nih.gov/	Sleep debt hits your brakes	"The first thing poor sleep dulls is your ability to pause before reacting. Everything gets louder, smaller decisions feel bigger.

Protecting sleep is protecting your judgement — not a soft priority."	Tired brains react fast	"Poor sleep makes it harder to pause before you snap or give up.

Sleep protects your choices."	Sleep debt hits your brakes	"The first thing poor sleep dulls is your ability to pause before reacting. Everything gets louder, smaller decisions feel bigger.

Protecting sleep is protecting your judgement — not a soft priority."	Tired brains react fast	"Poor sleep makes it harder to pause before you snap or give up.

Sleep protects your choices."	
I19	cardio	week_participation	Owen et al. — sitting breaks	https://pubmed.ncbi.nlm.nih.gov/	Two minutes of moving counts	"Short breaks from sitting improve energy ratings and help blood-sugar regulation after long desk stretches. The bar is genuinely low.

Stand up, walk to the kitchen, come back. That counts."	Two minutes of moving	"Short breaks from sitting help energy and sugar control.

Stand, stretch, grab water — it counts."	Two minutes of moving counts	"Short breaks from sitting improve energy ratings and help blood-sugar regulation after long desk stretches. The bar is genuinely low.

Stand up, walk to the kitchen, come back. That counts."	Two minutes of moving	"Short breaks from sitting help energy and sugar control.

Stand, stretch, grab water — it counts."	
I20	consistency	week_4	Lally et al.	https://pubmed.ncbi.nlm.nih.gov/19827987/	Habits feel automatic slowly	"Real-world studies put habit formation at weeks to months, not the famous 21 days. Early repetitions are the investment. Ease is what you get later.

You’re not slow. You’re just early."	Habits take weeks	"Real life habits often need weeks or months, not magic “21 days.”

Early tries are not failure — they are the start."	Habits feel automatic slowly	"Real-world studies put habit formation at weeks to months, not the famous 21 days. Early repetitions are the investment. Ease is what you get later.

You’re not slow. You’re just early."	Habits take weeks	"Real life habits often need weeks or months, not magic “21 days.”

Early tries are not failure — they are the start."	
I21	consistency	amber_to_green	Dweck — mindset research	https://pubmed.ncbi.nlm.nih.gov/	Skills can grow	"People who treat ability as buildable come back after setbacks more readily than those who see it as fixed. A bad week is noise, not a ceiling.

The only thing a slip proves is that you’re still in the game."	You can grow skills	"People who believe skills can grow bounce back after a bad day.

A rough week is a bump, not the end."	Skills can grow	"People who treat ability as buildable come back after setbacks more readily than those who see it as fixed. A bad week is noise, not a ceiling.

The only thing a slip proves is that you’re still in the game."	You can grow skills	"People who believe skills can grow bounce back after a bad day.

A rough week is a bump, not the end."	
I22	eating	week_participation	Sutton et al.	https://pubmed.ncbi.nlm.nih.gov/28469135/	Earlier eating, calmer numbers	"Shifting the bulk of eating earlier in the day consistently shows better metabolic patterns in trials. Same food, different clock.

Timing is a lever. Not a moral position."	Earlier food, calmer body	"More food earlier in the day often suits the body better than only huge late meals.

Timing is a tool, not a rule about “good” or “bad.”"	Earlier eating, calmer numbers	"Shifting the bulk of eating earlier in the day consistently shows better metabolic patterns in trials. Same food, different clock.

Timing is a lever. Not a moral position."	Earlier food, calmer body	"More food earlier in the day often suits the body better than only huge late meals.

Timing is a tool, not a rule about “good” or “bad.”"	
I23	workout	habit_added	Westcott — resistance training	https://pubmed.ncbi.nlm.nih.gov/	Muscles pay rent on independence	"Strength training supports bones, metabolism, and your ability to carry your own shopping decades from now. Two sessions a week is a legitimate longevity habit.

Not about aesthetics. About function."	Strong muscles help forever	"Strength helps bones and everyday jobs like carrying bags.

Two short sessions a week is a big win."	Muscles pay rent on independence	"Strength training supports bones, metabolism, and your ability to carry your own shopping decades from now. Two sessions a week is a legitimate longevity habit.

Not about aesthetics. About function."	Strong muscles help forever	"Strength helps bones and everyday jobs like carrying bags.

Two short sessions a week is a big win."	
I24	productivity	habit_added	Newport — deep work / cognitive load	https://pubmed.ncbi.nlm.nih.gov/	One block, one job	"Every task switch leaves residual mental noise that slows down whatever comes next. Protecting a block of uninterrupted time isn’t a luxury — it’s how actual deep work gets done.

Batch the similar stuff. Guard the focused time."	One thing at a time	"Switching tasks leaves mental “echoes” that slow you down.

Give one job a protected block of time."	One block, one job	"Every task switch leaves residual mental noise that slows down whatever comes next. Protecting a block of uninterrupted time isn’t a luxury — it’s how actual deep work gets done.

Batch the similar stuff. Guard the focused time."	One thing at a time	"Switching tasks leaves mental “echoes” that slow you down.

Give one job a protected block of time."	
I25	consistency	week_participation	Norcross — change maintenance	https://pubmed.ncbi.nlm.nih.gov/	A gap is not a verdict	"Missing once doesn’t erase progress. Shame spirals do. The quickest recovery is the next small win — not a Monday restart ceremony.

Comebacks count as data too."	A miss is not the end	"Skipping once does not erase progress. Shame spirals do more damage.

The next small win is the comeback."	A gap is not a verdict	"Missing once doesn’t erase progress. Shame spirals do. The quickest recovery is the next small win — not a Monday restart ceremony.

Comebacks count as data too."	A miss is not the end	"Skipping once does not erase progress. Shame spirals do more damage.

The next small win is the comeback."	
I26	sleep	habit_added	Chang et al.	https://pubmed.ncbi.nlm.nih.gov/25588408/	Screens and sleepy chemistry	"Evening light from phones delays melatonin — the signal that tells your body it’s time to wind down. Your brain can’t quite tell a screen from a sunny window.

Dimming helps. Distance helps more."	Screens and sleepy feelings	"Bright screens at night can delay sleepy chemistry.

Dim screens or move them farther away before bed."	Screens and sleepy chemistry	"Evening light from phones delays melatonin — the signal that tells your body it’s time to wind down. Your brain can’t quite tell a screen from a sunny window.

Dimming helps. Distance helps more."	Screens and sleepy feelings	"Bright screens at night can delay sleepy chemistry.

Dim screens or move them farther away before bed."	
I27	health	week_participation	Armstrong et al.	https://pubmed.ncbi.nlm.nih.gov/21736786/	Thirst sneaks into focus	"Mild dehydration — the kind where you don’t feel particularly thirsty — is enough to measurably dent concentration and mood. Most people walk around in it.

Full water bottle on the desk. Boring and effective."	Water and focus	"Even mild thirst can ding mood and attention.

Keep water handy — boring and useful."	Thirst sneaks into focus	"Mild dehydration — the kind where you don’t feel particularly thirsty — is enough to measurably dent concentration and mood. Most people walk around in it.

Full water bottle on the desk. Boring and effective."	Water and focus	"Even mild thirst can ding mood and attention.

Keep water handy — boring and useful."	
I28	cardio	any	Oppezzo & Schwartz	https://pubmed.ncbi.nlm.nih.gov/	Walk, then think	"People consistently generate more ideas while walking than sitting still. If you’re stuck, a lap around the block is not procrastination.

Move first. Judge the ideas when you’re back."	Walk, then ideas	"Walking often brings more ideas than sitting.

Stuck? Try a lap before deciding."	Walk, then think	"People consistently generate more ideas while walking than sitting still. If you’re stuck, a lap around the block is not procrastination.

Move first. Judge the ideas when you’re back."	Walk, then ideas	"Walking often brings more ideas than sitting.

Stuck? Try a lap before deciding."	
I29	cardio	week_8	Celis-Morales et al., 2017	https://pubmed.ncbi.nlm.nih.gov/28360066/	Pedal power and the heart	"Large studies show people who cycle to work have meaningfully lower heart disease rates than those who drive the same route.

No lycra required."	Bikes and hearts	"Big studies link biking with healthier hearts than only driving.

Pedals do not need fancy clothes."	Pedal power and the heart	"Large studies show people who cycle to work have meaningfully lower heart disease rates than those who drive the same route.

No lycra required."	Bikes and hearts	"Big studies link biking with healthier hearts than only driving.

Pedals do not need fancy clothes."	
I30	productivity	week_2	Matthews — goal writing	https://pubmed.ncbi.nlm.nih.gov/	Ink beats hope	"Writing a goal down with a concrete plan consistently outperforms keeping it in your head. The act of writing it forces enough specificity to make it real.

Paper is cheap accountability."	Write the plan down	"Goals with a written plan beat goals only in your head.

Paper or phone notes both work."	Ink beats hope	"Writing a goal down with a concrete plan consistently outperforms keeping it in your head. The act of writing it forces enough specificity to make it real.

Paper is cheap accountability."	Write the plan down	"Goals with a written plan beat goals only in your head.

Paper or phone notes both work."	
I31	adhd	habit_added	Leroy — attention residue	https://pubmed.ncbi.nlm.nih.gov/	Tasks leave echoes	"Switch tasks before finishing a thought and part of your brain stays on the old one. That leftover hum makes the new task harder than it actually is.

Jot a quick note before you jump. Costs ten seconds."	Finish a thought before you jump	"If you switch tasks mid-thought, part of your brain stays behind.

Jot a note in ten seconds, then switch."	Tasks leave echoes	"Switch tasks before finishing a thought and part of your brain stays on the old one. That leftover hum makes the new task harder than it actually is.

Jot a quick note before you jump. Costs ten seconds."	Finish a thought before you jump	"If you switch tasks mid-thought, part of your brain stays behind.

Jot a note in ten seconds, then switch."	
I32	consistency	habit_added	Fogg — Tiny Habits	https://pubmed.ncbi.nlm.nih.gov/	Start so small it feels silly	"“Two push-ups” beats “get fit” because it’s impossible to argue with. The first step should have no resistance at all.

Win first. Scale later."	Start silly-small	"“Two jumps” beats “get fit forever” for actually starting.

Make step one too easy to argue with."	Start so small it feels silly	"“Two push-ups” beats “get fit” because it’s impossible to argue with. The first step should have no resistance at all.

Win first. Scale later."	Start silly-small	"“Two jumps” beats “get fit forever” for actually starting.

Make step one too easy to argue with."	
I33	workout	week_4	Sports medicine consensus	https://pubmed.ncbi.nlm.nih.gov/	Rest is part of the program	"Adaptation happens during recovery, not during effort. Skipping rest doesn’t add progress — it just delays it and increases the chance something breaks.

Schedule it. Treat it like a set."	Rest builds strength	"Muscles and skills grow during recovery, not only during effort.

Rest is part of training."	Rest is part of the program	"Adaptation happens during recovery, not during effort. Skipping rest doesn’t add progress — it just delays it and increases the chance something breaks.

Schedule it. Treat it like a set."	Rest builds strength	"Muscles and skills grow during recovery, not only during effort.

Rest is part of training."	
I34	family	any	Fiese et al.	https://pubmed.ncbi.nlm.nih.gov/	Kids feel steady rhythms	"Children in households with predictable routines show calmer and healthier patterns across multiple measures of wellbeing. Not rigid — just consistent.

You’re building a felt sense of safety. That’s the whole point."	Kids like steady routines	"Predictable rhythms help kids feel safe and healthy — not rigid, just steady.

You are building a calm home feeling."	Kids feel steady rhythms	"Children in households with predictable routines show calmer and healthier patterns across multiple measures of wellbeing. Not rigid — just consistent.

You’re building a felt sense of safety. That’s the whole point."	Kids like steady routines	"Predictable rhythms help kids feel safe and healthy — not rigid, just steady.

You are building a calm home feeling."	
I35	finance	habit_added	Behavioural finance reviews	https://pubmed.ncbi.nlm.nih.gov/	Watching spending changes it	"Just logging purchases — without any budget lecture attached — tends to reduce discretionary spending on its own. Awareness does most of the work.

The log is the intervention."	Watching spending helps	"Just noticing what you buy often lowers extra spending — no lecture needed.

The list is the magic."	Watching spending changes it	"Just logging purchases — without any budget lecture attached — tends to reduce discretionary spending on its own. Awareness does most of the work.

The log is the intervention."	Watching spending helps	"Just noticing what you buy often lowers extra spending — no lecture needed.

The list is the magic."	
I36	consistency	week_4	Baumeister & Vohs — self-regulation	https://pubmed.ncbi.nlm.nih.gov/17068127/	Consistency is a muscle	"Self-control is not a fixed gift — it trains like anything else. Each time you follow through, the next start gets a little easier to reach.

You are not faking discipline; you are collecting receipts."	Self-control is practice	"Following through trains “stop and go” skills like sport practice.

Each small keep-trying counts."	Consistency is a muscle	"Self-control is not a fixed gift — it trains like anything else. Each time you follow through, the next start gets a little easier to reach.

You are not faking discipline; you are collecting receipts."	Self-control is practice	"Following through trains “stop and go” skills like sport practice.

Each small keep-trying counts."	
I37	neuroscience	week_participation	Marcora et al.	https://pubmed.ncbi.nlm.nih.gov/19131043/	“I cannot” often arrives early	"Sports science shows people often feel maxed out while their body still has a large reserve. The brain yells “stop” before the tank is empty.

On a brutal habit day, slow down — but question the story that you have nothing left."	“I cannot” can show up early	"Bodies often have more gas than the brain admits on hard days.

Slow down, but question “I have nothing left.”"	“I cannot” often arrives early	"Sports science shows people often feel maxed out while their body still has a large reserve. The brain yells “stop” before the tank is empty.

On a brutal habit day, slow down — but question the story that you have nothing left."	“I cannot” can show up early	"Bodies often have more gas than the brain admits on hard days.

Slow down, but question “I have nothing left.”"	
I38	adhd	habit_added	Barkley — executive function	https://pubmed.ncbi.nlm.nih.gov/22541441/	Tools are not cheating	"Some nervous systems need louder outside cues — calendars, lists, apps — to feel time and reward fairly. That is biology, not laziness.

Use the scaffolding that lets you live the life you chose."	Lists and alarms are tools	"Some brains need louder outside reminders. That is wiring, not laziness.

Use what works for you."	Tools are not cheating	"Some nervous systems need louder outside cues — calendars, lists, apps — to feel time and reward fairly. That is biology, not laziness.

Use the scaffolding that lets you live the life you chose."	Lists and alarms are tools	"Some brains need louder outside reminders. That is wiring, not laziness.

Use what works for you."	
I39	neuroscience	habit_added	Berridge & Robinson — wanting vs liking	https://pubmed.ncbi.nlm.nih.gov/9580132/	The brain loves any win	"The same circuits that light up for a gold star can light up for a workout or a slot machine. Healthy systems borrow that wiring on purpose.

Direction matters more than the fact that chemistry notices."	Wins light up the brain	"Stars, ticks, and games use similar “win” wiring — healthy apps borrow that on purpose.

Steer the wins toward good habits."	The brain loves any win	"The same circuits that light up for a gold star can light up for a workout or a slot machine. Healthy systems borrow that wiring on purpose.

Direction matters more than the fact that chemistry notices."	Wins light up the brain	"Stars, ticks, and games use similar “win” wiring — healthy apps borrow that on purpose.

Steer the wins toward good habits."	
I40	adhd	week_8	Miyake et al. — executive function	https://pubmed.ncbi.nlm.nih.gov/10945922/	Focus is a bundle of skills	"Planning, starting, sticking, and switching are related but separate mental skills. They differ between people and can improve with practice.

Every steady week is quiet training for all of them."	Focus has many parts	"Planning, starting, sticking, and switching are different skills.

Steady weeks quietly train all of them."	Focus is a bundle of skills	"Planning, starting, sticking, and switching are related but separate mental skills. They differ between people and can improve with practice.

Every steady week is quiet training for all of them."	Focus has many parts	"Planning, starting, sticking, and switching are different skills.

Steady weeks quietly train all of them."	
I41	neuroscience	week_2	Skinner — schedules of reinforcement (textbooks)	https://pubmed.ncbi.nlm.nih.gov/28176700/	Surprise keeps attention awake	"When rewards arrive on an unpredictable rhythm, behaviour tends to stick harder than with a clockwork prize — that is old psychology lab wisdom.

Random insights here echo mild curiosity — separate from your weekly treats and pot rules, not an extra game layered on top."	Surprises keep attention	"Random little rewards can make habits stickier than perfect clocks.

This app’s surprise facts are gentle curiosity — separate from weekly treats and jar rules, not an extra game on top."	Surprise keeps attention awake	"When rewards arrive on an unpredictable rhythm, behaviour tends to stick harder than with a clockwork prize — that is old psychology lab wisdom.

Random insights here echo mild curiosity — separate from your weekly treats and pot rules, not an extra game layered on top."	Surprises keep attention	"Random little rewards can make habits stickier than perfect clocks.

This app’s surprise facts are gentle curiosity — separate from weekly treats and jar rules, not an extra game on top."	
I42	consistency	any	Zentall — social facilitation	https://pubmed.ncbi.nlm.nih.gov/22462781/	Being watched helps, even quietly	"Knowing someone else knows your goal nudges follow-through even if they never comment.

Pick an audience you trust; visibility is the tool."	Someone knowing helps	"When a trusted person knows your goal, you are more likely to try.

They do not have to nag."	Being watched helps, even quietly	"Knowing someone else knows your goal nudges follow-through even if they never comment.

Pick an audience you trust; visibility is the tool."	Someone knowing helps	"When a trusted person knows your goal, you are more likely to try.

They do not have to nag."	
I43	adhd	habit_added	Barkley — time estimation	https://pubmed.ncbi.nlm.nih.gov/21299070/	Time sense varies	"Some people honestly mis-feel how long tasks take without clocks and reminders. That is not a character flaw — it is a mismatch between brain and vague plans.

Concrete times and places are the kind fix."	Time guesses vary	"Some people mis-guess how long tasks take without a clock. That is human, not “lazy.”

Concrete times fix it kindly."	Time sense varies	"Some people honestly mis-feel how long tasks take without clocks and reminders. That is not a character flaw — it is a mismatch between brain and vague plans.

Concrete times and places are the kind fix."	Time guesses vary	"Some people mis-guess how long tasks take without a clock. That is human, not “lazy.”

Concrete times fix it kindly."	
I44	consistency	habit_added	Gollwitzer	https://pubmed.ncbi.nlm.nih.gov/10620504/	Spell it out	"“If X happens, I will do Y” plans routinely beat “I will try harder” in study after study.

The sentence is the intervention."	If-then plans work	"“If it rains, I dance inside” beats “I will try harder.”

The sentence is the superpower."	Spell it out	"“If X happens, I will do Y” plans routinely beat “I will try harder” in study after study.

The sentence is the intervention."	If-then plans work	"“If it rains, I dance inside” beats “I will try harder.”

The sentence is the superpower."	
I45	consistency	habit_added	Wood & Neal	https://pubmed.ncbi.nlm.nih.gov/17685980/	Motivation is a fair-weather friend	"Rooms, layouts, and visible cues predict doing the habit better than how motivated you felt that morning.

Design for Tuesday-you, not Sunday-night-you."	Rooms matter more than mood	"Visible cues and layouts predict habits better than morning excitement.

Design for Tuesday-you."	Motivation is a fair-weather friend	"Rooms, layouts, and visible cues predict doing the habit better than how motivated you felt that morning.

Design for Tuesday-you, not Sunday-night-you."	Rooms matter more than mood	"Visible cues and layouts predict habits better than morning excitement.

Design for Tuesday-you."	
I46	consistency	week_4	Cialdini — influence	https://pubmed.ncbi.nlm.nih.gov/11272398/	We copy the crowd	"People often follow what they think peers do, sometimes more than their private values say.

Use that wisely: find a group where the normal thing is showing up."	We copy our crew	"People often copy what friends seem to do.

Pick friends or groups where showing up is normal."	We copy the crowd	"People often follow what they think peers do, sometimes more than their private values say.

Use that wisely: find a group where the normal thing is showing up."	We copy our crew	"People often copy what friends seem to do.

Pick friends or groups where showing up is normal."	
